Participant,Block Design Raw Score,Step,Chest Distance,HeadCamera Distance,LeftElbow Distance,LeftShoulder Distance,MotionControllerLeft Distance,MotionControllerRight Distance,RightElbow Distance,RightShoulder Distance
C008,34,Add cinnamon,237.61326093832506,348.96629306655336,357.12681749532436,368.5712235627646,301.64595261164504,850.896418839728,749.1516765919434,546.6319198648298
C008,34,Add crust top,309.4165283926527,397.5507244943682,493.3287713801949,445.49594797396765,501.7443806025193,713.2077799074311,643.7662232125122,500.76699324465596
C008,34,Add water,182.7448236183413,265.4910676449637,199.1514511478535,215.10947991242017,170.0527735290921,445.0122045365556,423.9426472608632,352.39249438510956
C008,34,Post last step,394.68166010211127,481.1197079660568,588.0082883349069,503.0254305148842,635.8218496736766,869.5656308277823,744.1168072184153,564.7896155231684
C008,34,Pour syrup,195.37740807738092,263.3191243830053,256.84359647405165,253.7179135666152,290.9838993182034,399.25778685619787,330.720403740952,316.0636023079518
C008,34,Put pie in oven,603.3647267917288,736.7619565735315,872.8643726307055,780.5919412368731,913.534534336644,1202.1993845027087,1025.486016479042,813.7266201524061
C008,34,Stir bowl,354.8025145401848,442.28778436722365,507.2914514409158,483.9550467637473,492.9880849383653,1402.2855939974618,1057.766692639996,740.043624712235
C009,24,Add Sugar ,1170.0910107018371,1528.3483077527476,1472.9568090020466,1469.4794876301103,1482.5193912092618,2502.6182456845527,2211.2830180667584,1746.598536603261
C009,24,Add apples to pan,2344.988668583187,3274.8137393270786,2672.1538433706573,3108.9143399745335,2660.870182713816,8043.298615144242,5350.501010318796,3900.9056690489374
C009,24,Add bottom crust,157.38291115045345,217.70558154183792,192.29987483363902,171.7352873401711,206.84229451296858,651.5727647766047,482.7707401839783,297.59967113224684
C009,24,Add butter,427.4877763400284,540.538002085021,486.1922243798814,477.8662735723959,476.424223003076,1306.985480491886,963.7981381232527,706.7784714849962
C009,24,Add cinnamon,113.00801812185193,181.76541809478687,155.23754480250795,152.0364533279731,144.31128263793522,381.11968054611305,328.953711235573,222.02242210153693
C009,24,Add crust top,201.7700377381523,304.2713093709403,366.60608090825673,304.98457134000137,383.7766292136454,603.6856475624447,483.47905595270686,362.584270617606
C009,24,Add water,153.9810143414483,232.85556008927574,174.02208638153647,183.7900534981556,164.28371576189352,406.9463990225843,372.4779724716856,259.9261836056099
C009,24,Post last step,573.5526744176975,782.5577607833164,578.4544583280956,589.2064964012662,570.0873916558968,1311.6909015838391,1137.989375345057,915.3556021324518
C009,24,Pour syrup,94.41353902042903,163.77079865265017,166.70507710484526,154.3780530687987,192.13567591227664,375.83170615018787,228.01939886705196,174.91894494541586
C009,24,Put pie in oven,422.7008500022731,583.0949329588975,511.31285905877724,504.00124264241435,484.50099159793604,991.2936265032602,864.4525984195154,701.0282369121356
C009,24,Stir bowl,374.20876769215306,443.5310016565511,520.0925692603669,455.9626113904417,549.7035277739024,1162.1192728945437,847.4846545243321,620.19165287483
C012,54,Add Sugar ,496.7281312296871,329.1203754353283,616.0934453261685,469.30326870640056,611.8643816621161,893.6081389775612,643.1457827777401,541.5715077757256
