Participant,Completed Step,Apple,ApplePieCookbook,Butter,ButterHolder,CinnyShakerGrabable,Knife,NewMeasuringCup,PieBowl,PiePan,PillsberryDoughBoy,PillsberryDoughGirl,SaucePot,StaticMeshActor,StirSpoonPie,SugarJar,WaterPitcher,oven,Interacted Objects,UnecessaryPomegranate,BeefStewCookbook,UnecessaryLime
C021,Add bottom crust,0,0,0,0,0,0,0,6,0.0,0.0,5.0,0,0,3,0,0,0.0,14,,0.0,
C021,Pour syrup,0,0,0,0,1,0,0,0,0.0,0.0,0.0,1,0,0,0,0,0.0,2,,0.0,
C024,Add Sugar ,0,2,0,0,0,0,1,0,0.0,0.0,0.0,0,0,0,2,0,0.0,5,,,
C024,Add cinnamon,5,1,0,0,1,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0.0,7,,,
C024,Stir bowl,0,1,0,2,0,0,0,1,0.0,0.0,0.0,1,0,3,0,0,0.0,8,,,
C024,Add crust top,0,1,0,0,0,0,0,8,0.0,2.0,0.0,0,0,0,0,0,0.0,11,,,
C024,Put pie in oven,0,1,0,0,0,0,0,0,6.0,0.0,0.0,2,0,0,0,0,2.0,11,,,
C024,Add butter,0,0,4,2,0,0,1,0,0.0,0.0,0.0,0,2,0,0,0,0.0,9,,,
C024,Add apples to pan,71,0,0,0,2,16,0,8,0.0,0.0,0.0,0,4,0,0,1,0.0,102,,,
C024,Add water,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,1,0.0,1,,,
C024,Add bottom crust,0,0,0,0,0,0,0,13,0.0,0.0,2.0,0,0,1,0,0,0.0,16,,,
C024,Pour syrup,0,0,0,0,1,0,0,0,0.0,0.0,0.0,1,0,0,0,0,0.0,2,,,
C025,Add Sugar ,0,2,0,0,0,0,1,0,0.0,0.0,0.0,0,0,0,2,0,0.0,5,,,
C025,Add cinnamon,35,1,0,0,1,4,0,0,0.0,0.0,0.0,0,0,0,0,0,0.0,41,,,
C025,Stir bowl,0,1,0,0,0,0,0,0,0.0,0.0,0.0,1,0,1,0,0,0.0,3,,,
C025,Add crust top,0,1,0,0,0,0,0,4,0.0,1.0,0.0,0,0,0,0,0,0.0,6,,,
C025,Put pie in oven,0,3,0,0,0,0,0,0,4.0,0.0,0.0,8,0,0,0,0,4.0,19,,,
C025,Add water,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0,0,0,0,1,0.0,2,,,
C025,Add butter,0,0,5,4,0,0,4,0,0.0,0.0,0.0,0,2,0,0,1,0.0,16,,,
C025,Add apples to pan,31,0,0,0,0,4,0,2,0.0,0.0,0.0,0,2,0,0,0,0.0,39,,,
C025,Pour syrup,0,0,0,0,1,0,0,0,0.0,0.0,0.0,1,0,0,0,0,0.0,2,,,
C025,Add bottom crust,0,0,0,0,0,0,0,0,0.0,0.0,1.0,0,0,1,0,0,0.0,2,,,
C028,Add Sugar ,0,2,0,0,0,0,1,0,0.0,0.0,0.0,0,8,0,2,0,0.0,13,,,0.0
C028,Add butter,0,2,4,2,0,0,1,0,0.0,0.0,0.0,0,0,0,0,4,0.0,13,,,0.0
C028,Add cinnamon,0,1,0,0,1,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0.0,2,,,0.0
C028,Stir bowl,0,1,0,0,0,0,0,0,0.0,0.0,0.0,1,2,1,0,0,0.0,5,,,0.0
C028,Add crust top,0,1,0,0,0,0,0,2,0.0,1.0,0.0,0,0,0,0,0,0.0,4,,,0.0
C028,Put pie in oven,0,2,0,0,0,0,0,2,12.0,0.0,0.0,0,0,0,0,0,4.0,20,,,0.0
C028,Add water,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,1,0.0,1,,,0.0
C028,Add apples to pan,91,0,0,0,0,12,0,12,0.0,0.0,0.0,0,0,0,0,3,0.0,120,,,2.0
C028,Pour syrup,0,0,0,0,1,0,0,0,0.0,0.0,0.0,1,0,0,0,0,0.0,2,,,0.0
C028,Add bottom crust,0,0,0,0,0,0,0,0,0.0,0.0,1.0,0,0,1,0,0,0.0,2,,,0.0
C029,Add water,0,2,0,0,0,0,0,0,,,,0,0,0,0,1,,3,,,
C029,Add cinnamon,0,1,0,0,1,0,0,4,,,,0,0,0,0,0,,6,,,
C029,Add Sugar ,0,0,0,0,0,0,19,0,,,,0,2,0,8,1,,30,,,
C029,Add butter,0,0,3,2,0,0,1,0,,,,0,0,0,0,0,,6,,,
C029,Add apples to pan,31,0,0,0,0,10,0,6,,,,0,4,4,4,0,,59,,,
C029,Pour syrup,0,0,0,0,1,0,0,0,,,,1,0,0,0,0,,2,,,
C032,Add Sugar ,0,2,0,0,0,0,3,0,0.0,0.0,0.0,4,2,0,2,0,0.0,13,,,
C032,Add butter,0,0,12,2,0,0,0,0,0.0,0.0,0.0,16,4,0,0,1,0.0,35,,,
C032,Add apples to pan,36,0,2,2,0,16,0,8,0.0,0.0,0.0,8,0,0,0,0,0.0,72,,,
C032,Pour syrup,0,0,0,0,2,0,0,0,0.0,0.0,0.0,1,0,0,0,0,0.0,3,,,
C032,Stir bowl,0,1,0,0,0,0,0,0,0.0,0.0,0.0,1,0,19,0,0,0.0,21,,,
C032,Add water,0,0,0,0,0,0,9,0,0.0,0.0,0.0,0,0,0,0,19,0.0,28,,,
C032,Add cinnamon,32,1,1,0,14,6,2,10,0.0,0.0,0.0,0,0,0,0,0,0.0,66,,,
C032,Add crust top,0,1,0,0,0,0,0,18,0.0,0.0,3.0,0,0,0,0,0,0.0,22,,,
C032,Put pie in oven,0,1,0,0,0,0,0,0,4.0,0.0,0.0,0,0,0,0,0,4.0,9,,,
C032,Add bottom crust,0,0,0,0,0,0,0,4,0.0,1.0,0.0,0,0,1,0,0,0.0,6,,,
