Participant,Block Design Raw Score,Step,Chest Distance,HeadCamera Distance,LeftElbow Distance,LeftShoulder Distance,MotionControllerLeft Distance,MotionControllerRight Distance,RightElbow Distance,RightShoulder Distance
C015,33,Pour Broth,597.687202587525,557.3266778477387,687.3106692480372,699.1790236700318,716.3003501575231,1156.81825206239,919.7689364287519,761.3317242920647
C015,33,Stir Stew,347.8061826043761,507.7247353352968,432.090841575955,414.13563557728645,458.5787828362363,1190.5811683421816,1116.672395711892,764.1776451659033
C018,50,Add Beef,507.96402825145964,846.4219030980256,512.6057571019858,566.642161614859,606.7253816235573,2240.8510427509145,1523.3718736508959,1162.647533411267
C018,50,Add Carrot,274.05649032625746,456.9943317071823,844.2457660984645,593.9231838564345,1323.1234448405723,1041.9646975270302,670.2325987970013,553.208019872664
C018,50,Add Onion,304.4084883397508,520.4134645016886,488.88993866802616,428.76536070402733,545.4167947246875,1226.3612895283102,778.563212724338,589.4677711284094
C018,50,Add Potato,474.0929203432639,449.5312621867501,773.6397333775656,571.4413278438361,1123.3502795045035,992.299702063493,699.8171626335968,558.2685971026699
C018,50,Add Salt,34.76391164465795,53.95759703540453,30.31358628074201,27.012546514642366,40.508147352661375,246.55578843923442,176.16717751807528,111.95441891813088
C018,50,Add Tomtato,736.7127586778505,626.4040644311116,441.9945783641972,450.78392564505924,536.7599906818916,1859.8208713916408,1210.445884588873,892.5442753434544
C018,50,Add pepper,55.004777554861676,119.81479643911737,167.18240667834783,108.04177013528299,186.84458323694665,392.3662112567759,280.9684680346831,200.02010767252753
C018,50,Post last step,557.5727649264641,726.6306156960592,1134.1516416833656,851.2362601003571,1684.6424129270297,1224.0464759943375,1023.8467568120236,880.0850295040798
C018,50,Pour Broth,277.328900757811,340.4469990391833,368.4995649775882,353.6657467483375,400.8925103097064,534.8119779184996,404.99440578106703,398.0340206510416
C018,50,Stir Stew,56.84979771079301,122.808690514256,54.108508681252445,53.55369607440525,93.75300699514132,455.950905636704,282.756327445722,180.7789634563302
C019,40,Add Beef,407.4254605300684,587.8802020851753,397.31172833497095,398.83663421858677,1416.035533430274,1755.487755234195,1277.206584373766,860.7392309377218
C019,40,Add Carrot,338.6352666163543,462.23159068848145,320.21110893589514,318.67870939380765,199.4373937955846,1763.5398032431242,1229.9866358211293,920.4639259582054
C019,40,Add Onion,701.134374111119,946.7922988178493,676.4325389390706,579.8304689017939,453.3781893332797,3332.1119788497326,2461.2426741684108,1659.2530520259188
C019,40,Add Potato,277.60570645271116,374.5352011783783,170.3925420705727,221.0413610869142,128.19160385245561,1388.980199122308,1080.0318908553622,705.95976469912
