,Participant,Completed Step,BeefStewCookbook,BrothParent,Carrot,CarrotBottomQuarter1,CarrotBottomQuarter2,CarrotBotton,CarrotTop,CarrotTopQuarter1,CarrotTopQuarter2,Knife,Meat,Onion,PepperShakerGrabable,Potato,SaltShakerGrabable,StaticMeshActor,StirSpoon,Tomato,Interacted Objects,ApplePieCookbook
52,C018,Add Potato,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,17.0,0.0,,0.0,2.0,23,
53,C018,Add Carrot,1.0,0.0,6.0,4.0,4.0,3.0,3.0,4.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,34,
54,C018,Add pepper,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,0.0,0.0,2,
55,C018,Add Salt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,,0.0,0.0,2,
56,C018,Stir Stew,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,1.0,0.0,2,
57,C019,Pour Broth,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,
58,C019,Add Beef,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28,
59,C019,Add Onion,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,28.0,32.0,0.0,0.0,0.0,2.0,0.0,0.0,81,
60,C019,Add Tomtato,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,19,
61,C019,Add Potato,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,26,
62,C019,Add Carrot,1.0,0.0,6.0,4.0,4.0,5.0,5.0,4.0,4.0,6.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,41,
63,C019,Add pepper,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,4,
64,C019,Add Salt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2,
65,C019,Stir Stew,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,3.0,0.0,8,
66,C022,Add Beef,,,,,,,,,,,,,,,,,,,1,1.0
67,C022,Add Onion,,,,,,,,,,,,,,,,,,,1,1.0
68,C023,Pour Broth,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,
69,C023,Add Beef,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104,
70,C023,Add Onion,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,4.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,37,
71,C023,Add Tomtato,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,26,
72,C023,Add Potato,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,18.0,0.0,4.0,0.0,0.0,29,
73,C023,Add Carrot,1.0,0.0,9.0,4.0,4.0,5.0,5.0,6.0,6.0,12.0,7.0,0.0,0.0,0.0,0.0,18.0,2.0,0.0,79,
74,C023,Add pepper,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2,
75,C023,Stir Stew,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2,
76,C023,Add Salt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2,
77,C026,Pour Broth,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,
78,C026,Add Beef,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,26.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,36,
79,C026,Add Onion,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,16.0,20.0,0.0,0.0,0.0,2.0,0.0,0.0,47,
80,C026,Add Tomtato,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,14.0,21,
81,C026,Add Potato,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,16.0,0.0,6.0,0.0,0.0,29,
82,C026,Add Carrot,1.0,0.0,8.0,4.0,4.0,3.0,2.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34,
83,C026,Add Salt,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,6,
84,C026,Stir Stew,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,8,
85,C026,Add pepper,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0,0.0,0.0,6,
86,C027,Pour Broth,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,2,
87,C027,Add Beef,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,32.0,0.0,0.0,0.0,0.0,,0.0,0.0,41,
88,C027,Add Onion,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,17.0,0.0,0.0,0.0,,0.0,0.0,22,
89,C027,Add Tomtato,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,,0.0,15.0,18,
90,C027,Add Potato,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,15.0,0.0,,0.0,0.0,18,
91,C027,Add Salt,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,0.0,0.0,3,
92,C027,Add Carrot,0.0,3.0,6.0,7.0,6.0,3.0,2.0,4.0,5.0,4.0,0.0,0.0,4.0,0.0,0.0,,0.0,0.0,44,
93,C027,Add pepper,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,,0.0,0.0,2,
94,C027,Stir Stew,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,3.0,0.0,4,
95,C030,Stir Stew,8.0,,8.0,9.0,4.0,4.0,2.0,4.0,4.0,20.0,37.0,19.0,2.0,,2.0,,3.0,14.0,140,
96,C031,Pour Broth,1.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,
97,C031,Add Beef,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,72.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,98,
98,C031,Add Onion,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,42,
99,C031,Add Tomtato,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,19,
100,C031,Add Potato,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,23.0,0.0,2.0,0.0,0.0,32,
101,C031,Add Carrot,2.0,0.0,6.0,4.0,4.0,2.0,3.0,6.0,4.0,4.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,37,
102,C031,Add Salt,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,5.0,0.0,0.0,0.0,9,
103,C031,Add pepper,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,4,
104,C031,Stir Stew,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,4,
